event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,82.01,17.7,47.8,16.51,1,7oG,1.11,7.8,7.8,2,bG,0.92,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,74.87,18.82,44.0,12.05,1,bG,0.92,5.7,5.5,2,7op,0.98,7.2,6.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,TOMITAKA Hinako,2532031,3,74.19,16.69,45.3,12.2,1,bG,0.92,7.2,7.1,2,7op,0.98,5.7,5.8
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,85.84,17.28,50.3,18.26,1,bdF,1.05,9.0,9.1,2,10op,1.05,8.3,8.4
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,WOODS Cooper,2532161,2,81.04,17.66,47.6,15.78,1,bdF,1.05,7.9,8.1,2,7op,0.88,8.7,8.1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,80.07,17.07,45.0,18.0,1,bdF,1.05,8.2,8.3,2,10op,1.05,9.2,8.6
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.22,18.02,47.6,15.6,1,7oG,1.11,8.3,7.8,2,bp,0.81,8.6,7.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,71.71,19.07,40.6,12.04,1,7op,0.98,6.8,7.7,2,bp,0.81,5.2,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,SOAR Hannah,2531373,3,67.93,15.35,43.1,9.48,1,bp,0.81,5.7,5.7,2,bG,0.92,5.1,5.5
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,82.17,16.86,49.3,16.01,1,bF,0.88,8.8,9.0,2,10op,1.05,8.1,7.5
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,2,79.15,17.34,47.8,14.01,1,bdF,1.05,6.6,5.4,2,10op,1.05,7.7,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,78.8,17.41,46.2,15.19,1,10op,1.05,7.2,8.0,2,7op,0.88,8.2,8.2
