event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score,podium_rank
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,McDONALD Cole,2534511,6,77.79,15.42,46.9,15.47,1,bF,0.88,8.1,8.6,2,10op,1.05,8.2,7.3,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,McDONALD Cole,2534511,3,75.17,16.78,42.6,15.79,1,bdF,1.05,6.5,6.8,2,10op,1.05,8.5,8.3,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,80.68,16.14,47.6,16.94,1,7oG,1.11,8.0,8.2,2,bG,0.92,8.7,8.6,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.7,16.24,47.5,15.96,1,7oG,1.11,7.5,7.1,2,bG,0.92,8.4,8.7,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,3,77.8,16.64,46.8,14.36,1,bp,0.81,8.1,7.9,2,7op,0.98,7.9,8.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,75.81,16.6,45.3,13.91,1,bp,0.81,7.5,6.8,2,7op,0.98,8.4,8.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,LEMLEY Elizabeth,2537762,4,77.03,17.85,45.7,13.48,1,7oG,1.11,8.4,8.1,2,bp,0.81,5.1,5.6,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,LEMLEY Elizabeth,2537762,3,74.75,19.23,42.3,13.22,1,7oG,1.11,6.2,5.9,2,7op,0.98,7.1,6.2,3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,83.74,17.58,49.8,16.36,1,bF,0.88,9.0,9.1,2,10op,1.05,8.0,8.0,1
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,85.37,17.04,50.6,17.73,1,bdF,1.05,8.5,8.7,2,10op,1.05,8.3,8.3,1
