event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,MATSUDA So,2531671,JPN,11,76.29,16.12,45.9,14.27,1,bF,0.88,7.2,7.6,2,7oG,1.01,7.5,7.9
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,LEMLEY Elizabeth,2537762,USA,5,73.49,19.82,40.8,12.87,1,7oG,1.11,5.2,5.3,2,bp,0.81,8.2,9.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,CAVET Benjamin,2530514,FRA,5,77.9,14.56,47.5,15.84,1,bF,0.88,9.0,9.0,2,10op,1.05,7.9,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,McDONALD Cole,2534511,USA,6,77.79,15.42,46.9,15.47,1,bF,0.88,8.1,8.6,2,10op,1.05,8.2,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,FRA,3,77.8,16.64,46.8,14.36,1,bp,0.81,8.1,7.9,2,7op,0.98,7.9,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,KAWAMURA Anri,2534852,JPN,3,80.99,19.31,46.5,15.18,1,bp,0.81,8.5,8.8,2,7op,0.98,8.4,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,MA Zhuoni,2533012,CHN,26,41.08,10.4,22.4,8.28,1,bT,0.78,4.2,4.9,2,bG,0.92,5.1,5.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,USA,3,78.34,20.0,44.7,13.64,1,bG,0.92,8.0,8.2,2,bp,0.81,7.8,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,WOODS Cooper,2532161,AUS,15,55.8,13.26,31.6,10.94,1,bF,0.88,7.4,7.4,2,bp,0.71,6.0,6.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,KAWAMURA Anri,2534852,JPN,2,82.47,19.75,47.3,15.42,1,bp,0.81,9.0,8.9,2,7op,0.98,8.5,8.2
