event,event_date,venue,discipline,athlete,fis_code,podium_rank,metric,Qualification,Final 1,Deciding Final
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,time_points,,17.02,17.96
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_1_degree_diff,,1.01,1.01
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_2_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_1_judge_6_score,,8.1,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_1_judge_7_score,,7.8,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_2_judge_6_score,,7.8,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,jump_2_judge_7_score,,8.2,7.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,run_score,,78.8,79.86
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,air_total,,15.33,14.43
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,turns_total,,45.9,47.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,time_points,,17.57,18.13
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_degree_diff,,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_2_degree_diff,,0.88,0.88
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_judge_6_score,,7.6,7.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,KINGSBURY Mikael,2484937,2,jump_1_judge_7_score,,7.7,7.5
