event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Men's Moguls,2529670,FUJIKI Goshin,JPN,0,0,0
Women's Moguls,2533039,FUJIKI Hina,JPN,1,0,0
Men's Moguls,2538302,FUJIMURA Ikkei,JPN,0,0,0
Men's Moguls,2535392,GAJDECKA Marek,CZE,0,0,0
Women's Moguls,2484307,GALYSHEVA Yuliya,KAZ,2,0,0
Men's Moguls,2538751,GAY Paul Andrea,FRA,0,0,0
Men's Moguls,2538060,GENDRON Nate,USA,0,0,0
Women's Moguls,2530540,GERKEN SCHOFIELD,GBR,2,0,0
Men's Moguls,2530541,GERKEN SCHOFIELD,GBR,0,0,0
Women's Moguls,2530539,GERKEN SCHOFIELD,GBR,0,0,0
Men's Moguls,2535656,GILBERT Benoit,CAN,0,0,0
Women's Moguls,2535638,GODBOUT Rowanne,CAN,0,0,0
Women's Moguls,2535385,GORODKO,KAZ,1,0,0
Women's Moguls,2537746,GROGEAN Sydney,USA,0,0,0
Men's Moguls,2537768,GRYSPEERDT,CAN,0,0,0
Women's Moguls,2533011,GUAN Ziyan,CHN,0,0,0
Women's Moguls,2535767,GUSTAFSON Moa,SWE,0,0,0
Men's Moguls,2537618,HANSSON MATHISEN,SWE,0,0,0
Women's Moguls,2537261,HAO Liyun,CHN,0,0,0
Women's Moguls,2535757,HARRIS Evelyn,USA,0,0,0
Men's Moguls,2534735,HARVEY Jackson,AUS,1,0,0
Men's Moguls,2537720,HILL Edward,AUS,0,0,0
Men's Moguls,2532811,HOLMGREN Albin,SWE,2,0,0
Men's Moguls,2534210,HOLMGREN Emil,SWE,2,0,0
Women's Moguls,2538199,HOLUB Mikayla,CAN,0,0,0
Men's Moguls,2540086,HOMANS Jack,USA,0,0,0
Men's Moguls,2538442,HOWEY Matthew,USA,0,0,0
Women's Moguls,2537260,HU Qiaonan,CHN,0,0,0
Men's Moguls,2538811,HUGHES Riley,USA,0,0,0
Men's Moguls,2539211,IBRAGIMOV Ilnar,KAZ,0,0,0
Women's Moguls,2531368,IHARA Haruka,JPN,0,0,0
Women's Moguls,2534824,ITO Marin,JPN,0,0,0
Women's Moguls,2527797,IVANOVA Svetlana,AIN,0,0,0
Men's Moguls,2535572,JEANNESSON Mateo,GBR,1,0,0
Men's Moguls,2537675,JOHNSON Gabriel,USA,0,0,0
Women's Moguls,2539742,JOHNSON Victoria,USA,0,0,0
Women's Moguls,2538028,JOLY Lily,FRA,0,0,0
Men's Moguls,2534056,KAISLA Aleksi,FIN,0,0,0
Women's Moguls,2537041,KAJIWARA Hisako,JPN,0,0,0
Women's Moguls,2533769,KAJIWARA Yuki,JPN,0,0,0
Women's Moguls,2539969,KALMAKOFF Talance,CAN,0,0,0
Men's Moguls,2532177,KANNO Shugo,JPN,0,0,0
Men's Moguls,2534001,KARJALAINEN,FIN,0,0,0
Men's Moguls,2533771,KAWAOKA Shima,JPN,0,0,0
Women's Moguls,2540200,KEEFE Ruby,USA,0,0,0
Women's Moguls,2540774,KEENAN Ava,USA,1,0,0
Men's Moguls,2527955,KELLY Brenden,CAN,0,0,0
Men's Moguls,2537936,KIM Jinsuck,KOR,0,0,0
Women's Moguls,2538191,KISIL Yuliana,UKR,0,0,0
Women's Moguls,2539893,KNIGHT Murphy Jane,USA,0,0,0
Men's Moguls,2538433,KOSINSKI Oliver,USA,0,0,0
Men's Moguls,2537792,KROUPA Matyas,CZE,0,0,0
Women's Moguls,2538897,KRUGER Eden,USA,0,0,0
Men's Moguls,2538096,KUST Jameson,USA,0,0,0
Women's Moguls,2539213,KUZNETSOVA,KAZ,0,0,0
Women's Moguls,2538763,LAMONTAGNE Flavie,CAN,0,0,0
Women's Moguls,2539212,LARIONOVA,KAZ,0,0,0
Men's Moguls,2538782,LATULIPPE Charles,CAN,0,0,0
Men's Moguls,2531687,LAVOIE Alexandre,CAN,0,0,0
