event.event,event.event_date,event.venue,event.discipline,event.level,athlete.fis_code,athlete.name,athlete.rank,win,podium
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2533462,PAGE Nick,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2534186,MACUGA Alli,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2531373,SOAR Hannah,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2531373,SOAR Hannah,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2534511,McDONALD Cole,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2528846,KOLMAKOV Pavel,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Women's Moguls,Results Final 2,2537762,LEMLEY Elizabeth,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2534210,HOLMGREN Emil,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2535572,JEANNESSON Mateo,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2531373,SOAR Hannah,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2528069,SUGIMOTO Kosuke,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2533462,PAGE Nick,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,22 DEC 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2534074,VIEL Julien,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,4,False,False
